entry_id,effect_id,fred_id,ref_o,doi_o,study_o,ref_r,doi_r,url_r,study_r,discipline,tags,description,claim_text_o,claim_page_o,n_o,es_value_o,es_type_o,es_repr_o,pval_value_o,pval_type_o,pval_tails_o,nested_o,prereg_o,n_r,es_value_r,es_type_r,es_repr_r,pval_value_r,pval_type_r,pval_tails_r,nested_r,prereg_r,r_o,r_r
1,1,39xuw,"Schaffer, J., & Knobe, J. (2012). Contrastive knowledge surveyed. Noûs, 46(4), 675-708.",10.1111/j.1468-0068.2010.00795.x,1.0,"Wilkenfeld, D. A., & Hernández-Conde, J. V. (2017, September 12). Schaffer and Knobe Replication. https://doi.org/10.17605/OSF.IO/39XUW",10.17605/OSF.IO/39XUW,,1.0,Experimental Philosophy,"Contrastivism,  knowledge, knowledge ascription, ""rather than"" clause,  contrast, context","The two conditions of the experiment involve ascribing knowledge of the very same proposition (""rather than"" clause) and they differ only in that they pick out two different contrasts to that proposition: subject or object. ","""Participants in the thief contrast condition tended to agree with the knowledge ascription they received (mean rating: 4.6), while participants in the jewel contrast condition tended to disagree with the knowledge ascription they received (mean rating: 3.1).""",16.0,100.0,t(98) = 3.4,test statistic,p.31,0.001,e (=),2 (two),no,,137.0,0.584,d,p.2 of https://osf.io/k2cna,0.001,l (<),2 (two),no,https://osf.io/39xuw,0.324827586,0.280294872
2,1,acykd,"Mussweiler, T., & Englich, B. (2005). Subliminal anchoring: Judgmental consequences and underlying mechanisms. Organizational Behavior and Human Decision Processes, 98(2), 133-143.",10.1016/j.obhdp.2004.12.002,2.0,"Röseler, L., Schütz, A., Blank, P. A., Dück, M., Fels, S., Kupfer, J., ... & Seida, C. (2021). Evidence against subliminal anchoring: Two close, highly powered, preregistered, and failed replication attempts. Journal of Experimental Social Psychology, 92, 104066. https://doi.org/10.1016/j.jesp.2020.104066",10.1016/j.jesp.2020.104066,,1.0,Social Psychology,Anchoring; Heuristics; Comparison; Selective accessibility; Assimilation,"Subliminally presented numerical anchors influence judgment, causing estimates to shift toward the anchor values without participants being consciously aware of the anchors.","Participants who were presented with the high anchor value estimated the car price to be higher (M = 21,219 Euro) than those presented with the low anchor value (M = 17,150 Euro), t(39) = 2.02, p < .05, r = .31.",137.0,41.0,0.31,r,p. 137,0.05,l (<),NA (not reported),no,,165.0,-0.148,d,p. 3,0.83,e (=),1 (one),no,https://osf.io/8urxv,0.31,0.073798216
3,1,additional_studies1_a,"Rellensmann, J., & Schukajlow, S. (2017). Does students’ interest in a mathematical problem depend on the problem’s connection to reality? An analysis of students’ interest and pre-service teachers’ judgments of students’ interest in problems with and without a connection to reality. ZDM, 49, 367-378. https://doi.org/10.1007/s11858-016-0819-3",10.1007/s11858-016-0819-3,1.0,"García-Cerdá, C., Segura, C., & Ferrando, I. (2024). Influence of the Type of Mathematical Problems on Students’ and Pre-service Teachers’ Interest and Performance. A Replication and Elaboration Study. Implementation and Replication Studies in Mathematics Education, 1(aop), 1-35. https://doi.org/10.1163/26670127-bja10017",10.1163/26670127-bja10017,,1.0,Education,"mathematics, interest, students, pre-service teachers, diagnostic competence, real-world problems, performance, problem-solving",Influence of the Type of Mathematical Problems on Students’ Interest,"A t-test for dependent samples indicated that the difference in students’ interest in the two problem types was statistically significant [t(99) = −2.96, p < 0.01].",7.0,100.0,0.3,d,p. 7,p < 0.01,l (<),NA (not reported),yes,,80.0,𝜒2(2) = 9.99,test statistic,"preprint p. 22
Kendells W = X2/N(K-1), X2 = 9.99, N = 80, K = 3
W = 9.99/ (80*(3-1)), W = 9.99/ (160), W ~ 0.06",0.01,l (<),NA (not reported),no,,0.148340453,
3,2,additional_studies1_b,"Rellensmann, J., & Schukajlow, S. (2017). Does students’ interest in a mathematical problem depend on the problem’s connection to reality? An analysis of students’ interest and pre-service teachers’ judgments of students’ interest in problems with and without a connection to reality. ZDM, 49, 367-378. https://doi.org/10.1007/s11858-016-0819-3",10.1007/s11858-016-0819-3,1.0,"García-Cerdá, C., Segura, C., & Ferrando, I. (2024). Influence of the Type of Mathematical Problems on Students’ and Pre-service Teachers’ Interest and Performance. A Replication and Elaboration Study. Implementation and Replication Studies in Mathematics Education, 1(aop), 1-35. https://doi.org/10.1163/26670127-bja10017",10.1163/26670127-bja10017,,1.0,Education,"mathematics, interest, students, pre-service teachers, diagnostic competence, real-world problems, performance, problem-solving",Influence of the Type of Mathematical Problems on Pre-service Teachers’ Interest,"A t-test for dependent samples showed a significant difference in pre-service teachers’ judgments of students’ interest in solving the two types of problems [t(162) = 14.33, p < 0.01]. Cohen’s d = 1.12",7.0,163.0,1.12,d,7.0,< 0.01,l (<),NA (not reported),yes,,80.0,"𝜒2(2) = 16.54
",test statistic,"Kendells W = X2/N(K-1), X2 = 16.54, N = 80, K = 3
W = 16.54/ (80*(3-1)), W = 16.54/ (160), W ~ 0.1",0.01,l (<),NA (not reported),no,,0.488603369,
4,1,additional_studies10_b,"Darcy, I., Mora, J. C., & Daidone, D. (2016). The role of inhibitory control in second language phonological processing. Language Learning, 66, 741–773. https://doi.org/10.1111/lang.12161",10.1111/lang.12161,1.0,"Huensch, A. (2024). Clarifying the role of inhibitory control in L2 phonological processing: A preregistered, close replication of Darcy et al.(2016). Studies in Second Language Acquisition, 1-21. https://doi.org/10.1017/S0272263124000238",10.1017/S0272263124000238,,1.0,Linguistics,"language processing, inhibitory control, second language, phonological processing",Role of inhibitory control in L2 phonological processing (ABX error (vowels)),"Table 7 summarizes the results of correlation analyses between inhibition
scores and the four phonological accuracy scores (controlling for proficiency).
These correlations show that error rate and z scores in ABX perception were
significantly negatively correlated with inhibition scores, which indicates that
individuals with higher inhibition scores also obtained lower error rates and
lower (more targetlike)zscores in vowel perception.",33.0,18.0,-0.42,partial r,23.0,0.01,l (<),1 (one),yes,,58.0,-0.13,partial r,"p. 15, Table 10",0.379,e (=),1 (one),yes,https://osf.io/w4gj2,,
4,2,additional_studies10_c,"Darcy, I., Mora, J. C., & Daidone, D. (2016). The role of inhibitory control in second language phonological processing. Language Learning, 66, 741–773. https://doi.org/10.1111/lang.12161",10.1111/lang.12161,1.0,"Huensch, A. (2024). Clarifying the role of inhibitory control in L2 phonological processing: A preregistered, close replication of Darcy et al.(2016). Studies in Second Language Acquisition, 1-21. https://doi.org/10.1017/S0272263124000238",10.1017/S0272263124000238,,1.0,Linguistics,"language processing, inhibitory control, second language, phonological processing",Role of inhibitory control in L2 phonological processing (Vowel production z score),"Table 7 summarizes the results of correlation analyses between inhibition
scores and the four phonological accuracy scores (controlling for proficiency).
These correlations show that error rate and z scores in ABX perception were
significantly negatively correlated with inhibition scores, which indicates that
individuals with higher inhibition scores also obtained lower error rates and
lower (more targetlike)zscores in vowel perception.",33.0,18.0,-0.04,partial r,23.0,0.05,g (>),1 (one),yes,,58.0,0.09,partial r,"p. 15, Table 10",0.529,e (=),1 (one),yes,https://osf.io/w4gj2,,
4,3,additional_studies10_d,"Darcy, I., Mora, J. C., & Daidone, D. (2016). The role of inhibitory control in second language phonological processing. Language Learning, 66, 741–773. https://doi.org/10.1111/lang.12161",10.1111/lang.12161,1.0,"Huensch, A. (2024). Clarifying the role of inhibitory control in L2 phonological processing: A preregistered, close replication of Darcy et al.(2016). Studies in Second Language Acquisition, 1-21. https://doi.org/10.1017/S0272263124000238",10.1017/S0272263124000238,,1.0,Linguistics,"language processing, inhibitory control, second language, phonological processing",Role of inhibitory control in L2 phonological processing (Consonant production (max. 8)),"Table 7 summarizes the results of correlation analyses between inhibition
scores and the four phonological accuracy scores (controlling for proficiency).
These correlations show that error rate and z scores in ABX perception were
significantly negatively correlated with inhibition scores, which indicates that
individuals with higher inhibition scores also obtained lower error rates and
lower (more targetlike)zscores in vowel perception.",33.0,18.0,0.34,partial r,23.0,0.05,l (<),1 (one),yes,,58.0,0.07,partial r,"p. 15, Table 10",0.61,e (=),1 (one),yes,https://osf.io/w4gj2,,
5,1,additional_studies11_a,"Saxey, M. T., LeBaron-Black, A. B., & Curran, M. A. (2022). The Sooner, the Better? Couples' First Financial Discussion, Relationship Quality, and Financial Conflict in Emerging Adulthood. Journal of Financial Therapy, 13 (1) 2. https://doi.org/10.4148/1944-9771.1299",10.4148/1944-9771.1299,,"Saxey, M. T., LeBaron‐Black, A. B., Inman, N. F., Yorgason, J. B., & Holmes, E. K. (2024). The earlier couples first discussed finances, the better? A dyadic, longitudinal replication and extension. Family Relations. https://doi.org/10.1111/fare.13030",10.1111/fare.13030,,,Social Psychology,"emerging adulthood; financial communication; financial conflict; financial discussion, relationship quality",Effect of Financial Communication on Relationship Satisfaction,couples’ first financial discussion was directly associated with their financial communication (β = .23; p < .001),13.0,1950.0,0.23,beta (std),"p. 8 for N, p. 13 for es",0.001,l (<),NA (not reported),no,,1079.0,0.16,beta (std),pp. 10-11 wives,0.001,l (<),NA (not reported),yes,,,
5,2,additional_studies11_a,"Saxey, M. T., LeBaron-Black, A. B., & Curran, M. A. (2022). The Sooner, the Better? Couples' First Financial Discussion, Relationship Quality, and Financial Conflict in Emerging Adulthood. Journal of Financial Therapy, 13 (1) 2. https://doi.org/10.4148/1944-9771.1299",10.4148/1944-9771.1299,,"Saxey, M. T., LeBaron‐Black, A. B., Inman, N. F., Yorgason, J. B., & Holmes, E. K. (2024). The earlier couples first discussed finances, the better? A dyadic, longitudinal replication and extension. Family Relations. https://doi.org/10.1111/fare.13030",10.1111/fare.13030,,,Social Psychology,"emerging adulthood; financial communication; financial conflict; financial discussion, relationship quality",Effect of Financial Communication on Relationship Satisfaction,couples’ first financial discussion was directly associated with their financial communication (β = .23; p < .001),13.0,1950.0,0.23,beta (std),"p. 8 for N, p. 13 for es",0.001,l (<),NA (not reported),no,,1079.0,0.1,beta (std),pp. 10-11 husbands,0.05,l (<),NA (not reported),yes,,,
5,3,additional_studies11_b,"Saxey, M. T., LeBaron-Black, A. B., & Curran, M. A. (2022). The Sooner, the Better? Couples' First Financial Discussion, Relationship Quality, and Financial Conflict in Emerging Adulthood. Journal of Financial Therapy, 13 (1) 2. https://doi.org/10.4148/1944-9771.1299",10.4148/1944-9771.1299,,"Saxey, M. T., LeBaron‐Black, A. B., Inman, N. F., Yorgason, J. B., & Holmes, E. K. (2024). The earlier couples first discussed finances, the better? A dyadic, longitudinal replication and extension. Family Relations. https://doi.org/10.1111/fare.13030",10.1111/fare.13030,,,Social Psychology,"emerging adulthood; financial communication; financial conflict; financial discussion, relationship quality",Effect of Financial Communication on Reducing Financial Disagreements,couples’ first financial discussion was directly associated with their ... financial conflict (β = .07; p < .05).,13.0,1950.0,0.07,beta (std),"p. 8 for N, p. 13 for es",0.05,l (<),NA (not reported),no,,1079.0,-0.42,beta (std),pp. 10-11 wives,0.001,l (<),NA (not reported),yes,,,
