doi_o,n_replications,outcomes,first_year_r,flora_commit
10.1001/archgenpsychiatry.2009.153,1,successful,2012,cb02db7930176d05964d3afe98f460ffa364f366
10.1001/archgenpsychiatry.2012.124,1,failed,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1001/archpsyc.58.8.787,1,successful,2006,cb02db7930176d05964d3afe98f460ffa364f366
10.1001/jama.2010.574,1,mixed,2011,cb02db7930176d05964d3afe98f460ffa364f366
10.1001/jama.2015.8950,1,successful,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1001/jama.297.7.716,1,mixed,2010,cb02db7930176d05964d3afe98f460ffa364f366
10.1001/jamanetworkopen.2019.0570,1,successful,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1001/jamapsychiatry.2014.763,1,successful,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1001/jamapsychiatry.2015.1977,1,mixed,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/(sici)1097-0266(199704)18:4<303::aid-smj869>3.0.co;2-g,1,failed,2016,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/(sici)1099-0771(199806)11:2%3c107::aid-bdm292%3e3.0.co;2-y,2,mixed | successful,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/(sici)1099-0771(200001/03)13:1<1::aid-bdm333>3.0.co;2-s,1,successful,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/(sici)1099-0836(199909/10)8:5<296::aid-bse212>3.0.co;2-n,1,successful,2003,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/(sici)1099-1050(199909)8:6<485::aid-hec461>3.0.co;2-4,1,successful,2004,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/(sici)1099-1255(199801/02)13:1<49::aid-jae459>3.0.co;2-o,1,failed,2004,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/(sici)1520-6653(199924)13:1<5::aid-dir2>3.0.co;2-9,1,successful,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/1097-4679(197110)27:4<514::aid-jclp2270270435>3.0.co;2-k,1,successful,1973,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/ab.21544,1,successful,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/acp.1376,1,successful,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/acp.1692,1,failed,2017,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/acp.2350090703,1,mixed,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/acp.2874,1,successful,2017,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/acp.2881,1,successful,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/acp.2959,1,successful,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/acp.3442,1,successful,2023,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/ajhb.20823,1,failed,2016,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/ajmg.b.31028,1,successful,2011,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/ana.22403,1,successful,2011,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/ana.26294,1,failed,2025,cb02db7930176d05964d3afe98f460ffa364f366
