doi_r,n_originals,outcomes,year_r,flora_commit
10.1002/1099-0879(200007)7:3<220::aid-cpp243>3.0.co;2-f,1,successful,2000,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/1520-6807(198607)23:3<271::aid-pits2310230308>3.0.co;2-y,1,failed,1986,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/ab.22027,1,successful,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/acn3.50914,1,successful,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/acp.4037,1,successful,2023,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/acp.4202,1,mixed,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/acp.70124,1,successful,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/acp.70168,1,successful,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/aepp.13306,1,failed,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/aepp.13322,1,successful,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/aepp.13330,1,successful,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/aepp.13366,1,mixed,2023,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/aepp.13377,1,successful,2023,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/ajcp.12385,1,successful,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/ajhb.22875,1,failed,2016,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/ajmg.b.32068,1,successful,2012,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/aur.1474,1,successful,2015,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/aur.2496,1,successful,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/bem.10105,1,failed,2003,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/bin.1836,1,successful,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/bin.70067,1,successful,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/brb3.1393,1,successful,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/bse.372,1,successful,2003,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/cpp.2677,1,failed,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/cpp.686,1,mixed,2010,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/cpp.70057,1,successful,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/dev.21515,1,successful,2017,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/dys.1497,1,successful,2015,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/eahr.500039,1,mixed,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/ece3.3759,1,successful,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/ejsp.2172,1,successful,2015,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/ejsp.2390,1,successful,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/ejsp.2748,1,successful,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/ejsp.70015,1,successful,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/erv.3103,1,successful,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/gps.4893,1,successful,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/hbm.25386,1,successful,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/hbm.26065,1,mixed,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/hbm.26522,1,successful,2023,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/hec.1454,1,mixed,2009,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/hec.1787,1,failed,2011,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/hec.826,1,successful,2004,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/hep.30313,1,mixed,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/hrdq.21464,1,failed,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/hup.2659,1,failed,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/ijop.12519,1,successful,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/ijop.70144,1,mixed,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/ijop.70199,1,failed,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/j.1556-6978.2011.tb01919.x,1,mixed,2011,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.1055,1,successful,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.195,1,mixed,2015,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.329,1,successful,2016,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.339,1,successful,2016,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.398,1,successful,2017,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.401,1,mixed,2017,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.504,1,successful,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.613,1,mixed,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.631,1,successful,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.659,1,successful,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.665,1,successful,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.666,1,successful,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.70048,1,successful,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.70060,1,mixed,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.70061,1,successful,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.706,1,successful,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.740,1,mixed,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.750,1,successful,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.905,1,successful,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.908,1,successful,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.921,1,successful,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.2269,1,failed,2012,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.2309,1,successful,2012,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.2372,1,successful,2013,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.2402,1,successful,2015,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.2437,1,successful,2015,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.2445,1,successful,2015,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.2449,1,successful,2015,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.2458,1,successful,2015,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.2461,1,successful,2015,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.2462,1,successful,2015,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.2485,1,successful,2015,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.2513,1,successful,2016,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.2543,1,successful,2016,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.2584,1,successful,2017,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.2607,1,mixed,2017,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.2697,1,successful,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.2709,1,successful,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.2801,1,successful,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.2853,1,failed,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.2880,1,successful,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.2881,1,mixed,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.2886,1,successful,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.2919,1,successful,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.2933,1,mixed,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.2941,1,failed,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.2957,1,successful,2023,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.2970,1,successful,2023,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.2979,1,successful,2023,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.2983,1,mixed,2023,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.3003,1,failed,2023,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.3023,1,mixed,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.3074,1,successful,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.3088,1,mixed,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.3091,1,successful,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.3106,1,successful,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.802,1,failed,2004,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jclp.21839,1,mixed,2012,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jclp.23459,1,failed,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jclp.70017,1,mixed,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jcop.21574,1,successful,2013,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jeab.249,1,failed,2017,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jeab.327,1,successful,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jeab.915,1,successful,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jocb.350,1,mixed,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jts.22339,1,mixed,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/npr2.70078,1,successful,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/per.2176,1,mixed,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/per.2410080106,1,successful,1994,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/pits.22027,1,mixed,2017,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/pits.22106,1,mixed,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/pits.22364,1,mixed,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/pon.4841,1,successful,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/pros.21320,1,successful,2011,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/pu.30211,1,failed,2017,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/rrq.62,1,mixed,2013,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/smj.2567,1,failed,2016,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/smj.2569,1,mixed,2016,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/smj.2570,1,mixed,2016,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/smj.2573,1,failed,2016,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/smj.2578,1,successful,2016,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/smj.2579,1,failed,2016,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/smj.2905,1,failed,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/smj.3252,1,mixed,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/smj.3287,1,mixed,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/smj.3453,1,successful,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/smj.3580,2,successful,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/soej.12598,1,successful,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/tesq.128,1,successful,2013,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/tesq.3096,1,mixed,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/tesq.3212,1,mixed,2023,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/978-3-031-55844-3_4,1,mixed,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/bf01205784,1,failed,1997,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/bf02298289,1,failed,1989,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/bf03395084,1,successful,1989,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s00125-010-2002-7,1,mixed,2010,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s00125-021-05490-8,1,successful,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s00127-007-0170-7,1,successful,2007,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s00181-012-0549-5,1,mixed,2012,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s00181-020-01857-9,1,successful,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s00181-023-02450-6,1,mixed,2023,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s00213-025-06983-9,1,failed,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s00248-024-02368-1,1,successful,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s00296-010-1566-3,1,failed,2010,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s00296-010-1789-3,1,failed,2011,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s00426-019-01163-9,1,mixed,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s00426-019-01203-4,2,mixed | successful,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s00426-019-01258-3,1,mixed,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s00426-025-02167-4,1,successful,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s00426-026-02299-1,1,failed,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s00439-014-1502-9,1,successful,2014,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s00455-013-9488-3,1,successful,2013,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10067-020-04995-8,1,successful,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10339-023-01130-8,1,mixed,2023,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10648-019-09468-2,1,mixed,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10648-023-09729-1,1,mixed,2023,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10649-026-10535-z,1,mixed,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10664-022-10117-6,1,mixed,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10664-025-10739-6,1,failed,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10683-005-0867-y,1,successful,2005,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10683-008-9197-1,1,mixed,2009,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10683-011-9293-5,1,mixed,2012,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10683-011-9302-8,1,mixed,2012,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10683-014-9405-0,1,successful,2015,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10683-014-9411-2,1,mixed,2015,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10683-016-9491-2,1,statistically successful but flawed,2017,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10683-017-9549-9,1,successful,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10683-021-09720-z,1,mixed,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10803-013-1900-1,1,successful,2013,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10803-014-2139-1,1,successful,2014,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10803-020-04626-w,1,successful,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10803-024-06486-0,1,mixed,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10824-024-09525-x,1,successful,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10834-024-09975-7,1,failed,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10857-019-09443-2,1,successful,2019,cb02db7930176d05964d3afe98f460ffa364f366
