doi_o,verified_form,publisher_oa_override,evidence_url,reason,recovered_doi_r
10.1007/978-3-642-20677-1_13,other_publisher_output,,https://dl.acm.org/doi/10.1145/2593868.2593874,Published XP2014 conference paper; cached conference-paper type; publisher DOI page restricted to automated retrieval,
10.1016/j.jbusvent.2007.11.001,other_publisher_output,,https://journals.aom.org/doi/10.5465/AMBPP.2018.15544abstract,Academy of Management2018 meeting proceedings abstract; publisher record explicitly identifies meeting proceedings,
10.1016/j.jbusvent.2015.04.006,other_publisher_output,,https://journals.aom.org/doi/10.5465/AMBPP.2018.15544abstract,Same proceedings abstract as another original; keep unique original-year outcome rows,
10.1016/s0092-8674(03)00934-6,other_publisher_output,,https://elifesciences.org/articles/40854/peer-reviews,Recorded DOI is decision letter; publisher ties it to journal article10.7554/eLife.40854; ancillary record retained separately,
10.1017/s0272263112000149,other_publisher_output,,https://benjamins.com/catalog/bpa.3.13goo,Publisher identifies chapter279-302 in Cognitive Individual Differences in Second Language Processing and Acquisition2016,
10.1037/0022-3514.66.1.37,online_deposit,,https://libres.uncg.edu/IR/listing.aspx?id=35586,Erin Henesy2021 honours thesis at Appalachian State; exact title and year match cached replication record,
10.1061/(asce)0733-9364(2008)134:10(776),other_publisher_output,,https://ascelibrary.org/doi/10.1061/9780784481264.018,Publisher identifies Construction Research Congress2018 proceedings pages180-189,
10.1080/10447318.2011.595621,other_publisher_output,,https://mako.cc/academic/,Author publication list and cached metadata identify CHI2016 proceedings paper; ACM DOI10.1145/2858036.2858349,
10.1093/rheumatology/keq072,other_publisher_output,,https://doi.org/10.1136/bjsports-2014-094114.83,Cached conference-abstract type; numbered abstract84 in BJSM supplement; not a full journal article,
10.1162/qjec.121.1.73,article,1,https://jcr-econ.org/wp-content/uploads/2022/06/2018-3-Roodman-D-Hookworm-Eradication.pdf,Publisher-hosted IREE2018 journal PDF carries CC BY4.0; cached Unpaywall missing preserved separately,
10.1287/mnsc.23.8.830,other_publisher_output,,https://journals.aom.org/doi/10.5465/ambpp.2016.11907abstract,Cached conference-abstract metadata and AOM proceedings DOI identify2016 meeting abstract; not a full journal article,
10.1371/journal.pbio.0000005,other_publisher_output,,https://cdn.elifesciences.org/articles/33105/elife-33105-v1.pdf,Publisher article explicitly lists recorded DOI10.7554/eLife.33105.044 as author response; ancillary record retained separately,
10.1371/journal.pone.0111065,article,1,https://ojs.utlib.ee/index.php/SJLAS/article/download/21645/16379/28446,Publisher freely serves full2019 Scandinavian Journal of Laboratory Animal Science article; manual audit date2026-09-08; historical access timing not established,
10.2307/25148745,article,1,https://aisel.aisnet.org/trr/vol6/iss1/1/,AIS publisher article record provides free download;2020 volume6 article1; manual audit date2026-09-08,
10.3109/0142159x.2010.541533,article,1,https://books.publisso.de/en/publisso_gold/export/pdf/article/4300/zma000997.pdf,Publisher full2015 GMS article PDF with free online article notice; manual audit date2026-09-08,
10.1111/j.1468-0297.2012.02529.x,preprint,,https://pubdata.leuphana.de/entities/publication/03f8abf4-42a2-42b9-b60b-99e0e387b0d1,Consistency correction beyond22 requested: institutional repository explicitly labels this record Working Paper; same rule as Groningen working paper,
10.1006/jmla.1996.0032,preprint,,https://api.crossref.org/works/10.31234/osf.io/qsyd2,"Exact title and same 15 authors, reordered, in Crossref posted-content and original study bibliography. FLoRA lists OSF Preprints. Crossref publication2017 vs cached2018; retain first-stage timing. Do not replace with later Collabra2019 aggregate article.",10.31234/osf.io/qsyd2
10.1007/s11199-007-9195-3,online_deposit,,https://commons.und.edu/es-showcase/18/,University repository identifies2018 undergraduate showcase poster; title/authors exact. No DOI found; form is known.,
10.1016/j.evolhumbehav.2005.01.002,preprint,,https://research.rug.nl/en/publications/failure-to-replicate-increasing-generosity-by-eyes/,Author institutional record identifies Working paper/Academic and Submitted manuscript; exact title/authors2014. Preprint/working-paper group; do not confuse Published2014 metadata status with journal publication.,
10.1016/j.im.2013.08.006,other_publisher_output,,https://aisel.aisnet.org/amcis2016/TRR/Presentations/5/,"Publisher identifies AMCIS2016 proceedings; exact replication title/authors. Conference paper, not journal article or unspecified output.",
10.1037/0022-3514.71.2.230,online_deposit,,https://web.archive.org/web/20200629155614/http://psychfiledrawer.org/replication.php?attempt=MTU%3D,"Read archived PsychFileDrawer report in FLoRA-linked PDF; title and original citation exact, report authors Pashler/Harris/Coburn. PDF downloaded from https://drive.google.com/uc?export=download&id=1i2aa1erQ9i9knP8Z5bgGiSt6DXX7U7Fa; saved source copy.",
10.1126/science.151.3712.837,online_deposit,,https://repository.arizona.edu/items/bb0bb3d7-335f-4cca-be56-ee423c97f4f6,"University repository identifies Bachelor thesis/Electronic Thesis, Champeau2013, exact title; persistent handle10150/297526. Live OpenAlex W185729583 also type dissertation; no DOI found.",
10.1177/0193723504273121,article,1,https://econjwatch.org/file_download/538/FindlaySantosMay2012.pdf,"Freely downloadable publisher PDF identifies Econ Journal Watch9(2),122–140,May2012; exact title/authors. Journal article even without DOI; source-audited publisher access as observed2026-09-08, not publication-date inference.",
