"doi_o","doi_r","type_r","is_oa","publication_access_group","unpaywall_coverage","n_originals_for_replication","multi_original_f"
"10.1002/(sici)1097-0266(199704)18:4<303::aid-smj869>3.0.co;2-g","10.1002/smj.2579","article",FALSE,"article_closed","status_available",1,0
"10.1002/acp.1692","10.1177/0305735617704300","article",TRUE,"article_oa","status_available",1,0
"10.1002/acp.2878","10.1002/acp.3439","article",TRUE,"article_oa","status_available",1,0
"10.1002/acp.3471","10.23668/psycharchives.4765","article",NA,"online_deposit","status_not_retrieved",1,0
"10.1002/ajhb.20823","10.1002/ajhb.22875","article",FALSE,"article_closed","status_available",1,0
"10.1002/ana.21590","10.1038/s41598-017-07404-4","article",TRUE,"article_oa","status_available",4,1
"10.1002/ana.23838","10.1038/s41598-017-07404-4","article",TRUE,"article_oa","status_available",4,1
"10.1002/dev.20062","10.7287/peerj.preprints.3352v1","preprint",TRUE,"preprint","status_available",2,0
"10.1002/ejsp.127","10.1037/a0031751","article",TRUE,"article_oa","status_available",1,0
"10.1002/hbm.20939","10.1080/17470218.2016.1233439","article",TRUE,"article_oa","status_available",1,0
"10.1002/hec.1160","10.1002/hec.1787","article",FALSE,"article_closed","status_available",1,0
"10.1002/hec.922","10.1002/hec.1415","article",FALSE,"article_closed","status_available",1,0
"10.1002/hrdq.20065","10.1002/hrdq.21464","article",FALSE,"article_closed","status_available",1,0
"10.1002/humu.22471","10.1016/j.ymgmr.2019.100470","article",TRUE,"article_oa","status_available",1,0
"10.1002/ijc.28537","10.1111/ajco.12508","article",TRUE,"article_oa","status_available",1,0
"10.1002/jae.1080","10.1002/jae.2544","article",FALSE,"article_closed","status_available",1,0
"10.1002/jae.1093","10.1002/jae.2269","article",TRUE,"article_oa","status_available",1,0
"10.1002/jae.2312","10.1002/jae.2651","article",FALSE,"article_closed","status_available",1,0
"10.1002/jae.2503","10.1002/jae.2695","article",FALSE,"article_closed","status_available",1,0
"10.1002/jae.615","10.1002/jae.2760","article",FALSE,"article_closed","status_available",1,0
"10.1002/mde.1230","10.1108/pijpsm-08-2016-0135","article",FALSE,"article_closed","status_available",1,0
"10.1002/smj.2274","10.1002/smj.2905","article",FALSE,"article_closed","status_available",1,0
"10.1006/jesp.2001.1488","10.3389/fpsyg.2017.00239","article",TRUE,"article_oa","status_available",1,0
"10.1006/jevp.2000.0176","10.1016/j.foar.2019.04.001","article",TRUE,"article_oa","status_available",1,0
"10.1006/jmla.1996.0032",NA,NA,NA,"doi_unavailable","doi_unavailable",NA,0
"10.1007/978-3-642-20677-1_13","10.1145/2593868.2593874","conference-paper",FALSE,"other_unclassified","status_available",1,0
"10.1007/s00127-008-0314-4","10.1177/0020764012447884","article",TRUE,"article_oa","status_available",1,0
"10.1007/s001270050022","10.1371/journal.pone.0129263","article",TRUE,"article_oa","status_available",1,0
"10.1007/s00213-010-1872-1","10.1093/alcalc/agaa009","article",FALSE,"article_closed","status_available",1,0
"10.1007/s10584-010-9957-8","10.5964/jspp.v8i1.1072","article",TRUE,"article_oa","status_available",1,0
"10.1007/s10649-007-9083-3","10.1016/j.learninstruc.2018.10.002","article",FALSE,"article_closed","status_available",1,0
"10.1007/s10683-011-9283-7","10.1007/s10683-013-9375-7","article",FALSE,"article_closed","status_available",1,0
"10.1007/s10683-011-9295-3","10.17605/osf.io/2vust","preprint",NA,"preprint","status_not_retrieved",1,0
"10.1007/s10683-012-9342-8","10.17605/osf.io/4axu6","preprint",NA,"preprint","status_not_retrieved",1,0
"10.1007/s10896-009-9261-4","10.15763/issn.1936-9298.2025.2.4.35-48","article",TRUE,"article_oa","status_available",1,0
"10.1007/s11002-014-9295-0","10.1525/collabra.310","article",TRUE,"article_oa","status_available",1,0
"10.1007/s11165-012-9320-3","10.4995/muse.2019.10390","article",TRUE,"article_oa","status_available",1,0
"10.1007/s11199-007-9195-3",NA,NA,NA,"doi_unavailable","doi_unavailable",NA,0
"10.1007/s11682-017-9762-3","10.31234/osf.io/tc58u","preprint",TRUE,"preprint","status_available",1,0
"10.1007/s13164-013-0162-3","10.1007/s13164-018-0400-9","article",TRUE,"article_oa","status_available",5,1
"10.1016/0006-3223(93)90094-t","10.1176/ajp.155.11.1600","article",FALSE,"article_closed","status_available",1,0
"10.1016/0010-0285(81)90010-4","10.1111/ijsa.12344","article",FALSE,"article_closed","status_available",1,0
"10.1016/0042-6989(86)90090-8","10.1167/13.6.11","article",TRUE,"article_oa","status_available",1,0
"10.1016/0304-422x(91)90003-8","10.1075/ssol.5.2.06sal","article",FALSE,"article_closed","status_available",1,0
"10.1016/j.addbeh.2012.12.022","10.1080/10826084.2016.1267222","article",FALSE,"article_closed","status_available",2,0
"10.1016/j.ajhg.2008.03.016","10.1177/14644207231201478","article",FALSE,"article_closed","status_available",1,0
"10.1016/j.ajhg.2009.12.009","10.1038/jhg.2013.28","article",TRUE,"article_oa","status_available",1,0
"10.1016/j.aos.2016.02.003","10.2308/bria-2020-021","article",TRUE,"article_oa","status_available",1,0
"10.1016/j.appet.2011.12.023","10.1016/j.appet.2021.105619","article",TRUE,"article_oa","status_available",1,0
"10.1016/j.bandl.2009.05.002","10.7287/peerj.preprints.3352","preprint",TRUE,"preprint","status_available",1,0
"10.1016/j.beproc.2008.04.003","10.3389/fpsyg.2013.00698","article",TRUE,"article_oa","status_available",1,0
"10.1016/j.biopsych.2004.11.026","10.31234/osf.io/vzt6d","preprint",TRUE,"preprint","status_available",1,0
"10.1016/j.biopsycho.2010.05.010","10.1371/journal.pone.0137000","article",TRUE,"article_oa","status_available",1,0
"10.1016/j.biopsycho.2016.05.001","10.1111/psyp.13546","article",TRUE,"article_oa","status_available",1,0
"10.1016/j.brat.2003.07.001","10.17605/osf.io/ptqwm",NA,NA,"online_deposit","status_not_retrieved",1,0
"10.1016/j.brs.2012.03.006","10.1155/2017/1254615","article",TRUE,"article_oa","status_available",1,0
"10.1016/j.brs.2017.05.005","10.1101/2020.10.26.354886","preprint",TRUE,"preprint","status_available",1,0
"10.1016/j.cedpsych.2009.06.005","10.31234/osf.io/ahjr5","preprint",TRUE,"preprint","status_available",1,0
"10.1016/j.cell.2011.09.029","10.7554/elife.56651","article",TRUE,"article_oa","status_available",1,0
"10.1016/j.chb.2015.04.024","10.1108/ijis-11-2017-0119","article",FALSE,"article_closed","status_available",1,0
"10.1016/j.cogbrainres.2005.02.020","10.3389/fpsyg.2014.01511","article",TRUE,"article_oa","status_available",1,0
"10.1016/j.cognition.2004.01.007","10.17605/osf.io/e5wka",NA,NA,"online_deposit","status_not_retrieved",1,0
"10.1016/j.cognition.2006.02.009","10.1371/journal.pone.0051382","article",TRUE,"article_oa","status_available",1,0
"10.1016/j.cognition.2007.11.004","10.1007/s13164-018-0400-9","article",TRUE,"article_oa","status_available",5,1
"10.1016/j.cognition.2008.04.002","10.31234/osf.io/ekw9c","preprint",TRUE,"preprint","status_available",1,0
"10.1016/j.cognition.2008.08.008","10.31234/osf.io/kfgr8","preprint",TRUE,"preprint","status_available",1,0
"10.1016/j.cognition.2009.10.008","10.1080/00222895.2012.746635","article",FALSE,"article_closed","status_available",1,0
"10.1016/j.cognition.2012.04.008","10.3389/fpsyg.2016.01930","article",TRUE,"article_oa","status_available",1,0
"10.1016/j.cognition.2013.01.009","10.1098/rsos.200664","article",TRUE,"article_oa","status_available",1,0
"10.1016/j.cognition.2014.09.006","10.1177/01461672211052120","article",FALSE,"article_closed","status_available",1,0
"10.1016/j.cognition.2016.03.003","10.17605/osf.io/8btme","preprint",NA,"preprint","status_not_retrieved",1,0
"10.1016/j.cognition.2017.12.004","10.17605/osf.io/yh25j","preprint",NA,"preprint","status_not_retrieved",1,0
"10.1016/j.cogpsych.2016.10.001","10.46469/mq.2020.60.4.5","article",FALSE,"article_closed","status_available",1,0
"10.1016/j.cogpsych.2017.07.001","10.31234/osf.io/c9baj","preprint",TRUE,"preprint","status_available",1,0
"10.1016/j.concog.2008.11.006","10.1007/s13164-018-0400-9","article",TRUE,"article_oa","status_available",5,1
"10.1016/j.concog.2012.01.016","10.31234/osf.io/8zarq","preprint",TRUE,"preprint","status_available",1,0
"10.1016/j.concog.2013.04.014","10.1525/collabra.321","article",TRUE,"article_oa","status_available",1,0
"10.1016/j.cub.2004.01.029","10.1016/j.cortex.2019.03.026","article",TRUE,"article_oa","status_available",1,0
"10.1016/j.earlhumdev.2003.12.002","10.1017/s2040174420001294","article",TRUE,"article_oa","status_available",1,0
"10.1016/j.ecosys.2015.04.004","10.1111/joes.12352","article",FALSE,"article_closed","status_available",1,0
"10.1016/j.ejpoleco.2003.10.001","10.1177/1091142114568659","review",FALSE,"article_closed","status_available",1,0
"10.1016/j.evolhumbehav.2005.01.002",NA,NA,NA,"doi_unavailable","doi_unavailable",NA,0
"10.1016/j.evolhumbehav.2010.04.004","10.31542/r.gm:2129","dissertation",TRUE,"online_deposit","status_available",1,0
"10.1016/j.evolhumbehav.2013.05.001","10.31234/osf.io/8wa6v","preprint",TRUE,"preprint","status_available",1,0
"10.1016/j.evolhumbehav.2016.06.001","10.17605/osf.io/anfk6","preprint",NA,"preprint","status_not_retrieved",1,0
"10.1016/j.heares.2011.06.001","10.31234/osf.io/f7gk6","preprint",TRUE,"preprint","status_available",1,0
"10.1016/j.homp.2005.10.002","10.51910/ijhdr.v11i40.588","article",TRUE,"article_oa","status_available",1,0
"10.1016/j.humov.2016.08.009","10.31236/osf.io/u897b_v1","preprint",TRUE,"preprint","status_available",1,0
"10.1016/j.ijforecast.2011.02.006","10.25431/11380_1167023","preprint",NA,"preprint","status_not_retrieved",1,0
"10.1016/j.im.2013.08.006",NA,NA,NA,"doi_unavailable","doi_unavailable",NA,0
"10.1016/j.intell.2008.03.008","10.1027/1015-5759/a000263","article",FALSE,"article_closed","status_available",1,0
"10.1016/j.jbusvent.2007.11.001","10.5465/ambpp.2018.15544abstract","conference-abstract",FALSE,"other_unclassified","status_available",2,0
"10.1016/j.jbusvent.2015.04.006","10.5465/ambpp.2018.15544abstract","conference-abstract",FALSE,"other_unclassified","status_available",2,0
"10.1016/j.jcps.2013.12.005","10.31234/osf.io/m295n","preprint",TRUE,"preprint","status_available",1,0
"10.1016/j.jenvp.2005.07.001","10.1177/0018720820909287","article",FALSE,"article_closed","status_available",1,0
"10.1016/j.jenvp.2008.11.001","10.1177/00332941211012621","article",FALSE,"article_closed","status_available",1,0
"10.1016/j.jesp.2004.07.001","10.1016/j.jesp.2013.05.011","article",FALSE,"article_closed","status_available",1,0
"10.1016/j.jesp.2005.05.001","10.1016/j.jesp.2020.104066","article",TRUE,"article_oa","status_available",2,0
"10.1016/j.jesp.2006.06.008","10.17605/osf.io/qyh9a",NA,NA,"online_deposit","status_not_retrieved",1,0
"10.1016/j.jesp.2008.08.018","10.5178/lebs.2019.67","article",TRUE,"article_oa","status_available",1,0
"10.1016/j.jesp.2009.05.003","10.17605/osf.io/xszk6",NA,NA,"online_deposit","status_not_retrieved",1,0
"10.1016/j.jesp.2009.06.003","10.31234/osf.io/4ertj","preprint",TRUE,"preprint","status_available",1,0
"10.1016/j.jesp.2012.02.008","10.31234/osf.io/cj6kv","preprint",TRUE,"preprint","status_available",2,0
"10.1016/j.jesp.2012.03.003","10.31234/osf.io/cj6kv","preprint",TRUE,"preprint","status_available",2,0
"10.1016/j.jesp.2013.05.013","10.1037/pspp0000070","article",FALSE,"article_closed","status_available",1,0
"10.1016/j.jfineco.2005.09.009","10.1016/j.jfineco.2013.08.003","article",FALSE,"article_closed","status_available",1,0
"10.1016/j.jfineco.2010.06.005","10.1093/rof/rfz021","article",TRUE,"article_oa","status_available",1,0
"10.1016/j.jml.2012.02.005","10.1016/j.jml.2018.07.004","article",TRUE,"article_oa","status_available",1,0
"10.1016/j.jml.2013.08.001","10.1080/23273798.2016.1242761","article",TRUE,"article_oa","status_available",1,0
"10.1016/j.jml.2015.10.007","10.1111/psyp.13312","article",FALSE,"article_closed","status_available",1,0
"10.1016/j.jns.2014.08.011","10.3389/fneur.2019.00884","article",TRUE,"article_oa","status_available",1,0
"10.1016/j.joca.2011.10.004","10.1155/2014/979520","article",TRUE,"article_oa","status_available",1,0
"10.1016/j.jpeds.2017.10.028","10.1007/s11126-020-09742-5","article",FALSE,"article_closed","status_available",1,0
"10.1016/j.jpubeco.2010.06.002","10.1080/00220388.2018.1506576","article",TRUE,"article_oa","status_available",1,0
"10.1016/j.jsams.2013.02.006","10.1016/j.mgene.2016.03.007","article",TRUE,"article_oa","status_available",2,0
"10.1016/j.jslw.2012.05.011","10.1017/s0261444815000087","article",FALSE,"article_closed","status_available",1,0
"10.1016/j.jss.2016.07.016","10.18466/cbayarfbe.489291","article",TRUE,"article_oa","status_available",1,0
"10.1016/j.labeco.2004.02.009","10.1080/13504851.2019.1644429","article",FALSE,"article_closed","status_available",1,0
"10.1016/j.labeco.2016.04.004","10.1016/j.econedurev.2020.102009","article",FALSE,"article_closed","status_available",1,0
"10.1016/j.media.2013.06.003","10.1038/s41598-020-63924-6","article",TRUE,"article_oa","status_available",1,0
"10.1016/j.neulet.2009.06.030","10.1037/a0027210","article",FALSE,"article_closed","status_available",1,0
"10.1016/j.neuroimage.2014.08.018","10.1101/218420","preprint",TRUE,"preprint","status_available",1,0
"10.1016/j.nlm.2016.01.008","10.1038/s41598-019-56033-6","article",TRUE,"article_oa","status_available",1,0
"10.1016/j.obhdp.2004.12.002","10.1016/j.jesp.2020.104066","article",TRUE,"article_oa","status_available",2,0
"10.1016/j.obhdp.2014.07.004","10.1177/1948550620944083","article",FALSE,"article_closed","status_available",1,0
"10.1016/j.paid.2009.11.029","10.3389/fnhum.2014.00154","article",TRUE,"article_oa","status_available",1,0
"10.1016/j.paid.2013.04.031","10.1016/j.evolhumbehav.2018.02.008","article",TRUE,"article_oa","status_available",3,0
"10.1016/j.poetic.2015.07.001","10.24839/2325-7342.jn26.4.422","article",TRUE,"article_oa","status_available",1,0
"10.1016/j.pscychresns.2010.11.008","10.3389/fpsyt.2020.00777","article",TRUE,"article_oa","status_available",1,0
"10.1016/j.socscimed.2004.06.039","10.1016/j.schres.2017.05.013","article",TRUE,"article_oa","status_available",1,0
"10.1016/j.ssresearch.2014.08.001","10.17645/si.v6i2.1395","article",TRUE,"article_oa","status_available",1,0
"10.1016/j.system.2008.08.002","10.1080/01434632.2020.1730861","article",FALSE,"article_closed","status_available",1,0
"10.1016/s0006-3223(02)01333-1","10.3109/10253890.2011.631154","article",TRUE,"article_oa","status_available",1,0
"10.1016/s0010-0277(02)00235-4","10.1016/j.actpsy.2019.102871","article",FALSE,"article_closed","status_available",1,0
"10.1016/s0010-0277(98)00075-4","10.31234/osf.io/qmptz","preprint",TRUE,"preprint","status_available",1,0
"10.1016/s0022-1031(03)00057-x","10.17605/osf.io/dhfns","preprint",NA,"preprint","status_not_retrieved",1,0
"10.1016/s0065-2601(08)60076-3","10.31234/osf.io/fbwpd","preprint",TRUE,"preprint","status_available",1,0
"10.1016/s0092-8674(03)00934-6","10.7554/elife.40854.028","peer-review",TRUE,"other_unclassified","status_available",1,0
"10.1016/s0304-3932(99)00026-4","10.1007/s00181-019-01778-2","article",FALSE,"article_closed","status_available",1,0
"10.1016/s0305-750x(00)00018-8","10.1016/j.worlddev.2011.05.001","article",TRUE,"article_oa","status_available",1,0
"10.1016/s0896-6273(00)80855-7","10.1101/110791","preprint",TRUE,"preprint","status_available",1,0
"10.1016/s0960-9822(01)00023-9","10.17632/4676n2pdrf.3","article",NA,"online_deposit","status_not_retrieved",1,0
"10.1016/s1470-2045(09)70003-8","10.1182/blood.v128.22.4338.4338","article",FALSE,"article_closed","status_available",1,0
"10.1017/s0003055406062083","10.1086/694653","article",FALSE,"article_closed","status_available",1,0
"10.1017/s0007123413000422","10.17605/osf.io/5vntp","preprint",NA,"preprint","status_not_retrieved",1,0
"10.1017/s0033291712002760","10.31234/osf.io/4wbgc","preprint",TRUE,"preprint","status_available",1,0
"10.1017/s0272263112000149","10.1075/bpa.3.13goo","book-chapter",FALSE,"other_unclassified","status_available",1,0
"10.1017/xps.2014.22","10.17605/osf.io/5vx27","preprint",NA,"preprint","status_not_retrieved",1,0
"10.1023/a:1015044207315","10.17605/osf.io/8wd2b",NA,NA,"online_deposit","status_not_retrieved",1,0
