"publication_access_group","is_oa","unpaywall_coverage","multi_original_f","n"
"article_access_unknown",NA,"status_not_retrieved",0,4
"article_closed",FALSE,"status_available",0,155
"article_oa",TRUE,"status_available",0,208
"article_oa",TRUE,"status_available",1,69
"doi_unavailable",NA,"doi_unavailable",0,7
"online_deposit",TRUE,"status_available",0,4
"online_deposit",NA,"status_not_retrieved",0,28
"other_unclassified",FALSE,"status_available",0,6
"other_unclassified",TRUE,"status_available",0,4
"other_unclassified",NA,"status_not_retrieved",0,1
"preprint",FALSE,"status_available",0,2
"preprint",TRUE,"status_available",0,55
"preprint",NA,"status_not_retrieved",0,48
