"publisher_access_group","is_oa","unpaywall_coverage","multi_original_f","n"
"article_not_publisher_oa",FALSE,"status_available",0,155
"article_not_publisher_oa",TRUE,"status_available",0,42
"article_not_publisher_oa",TRUE,"status_available",1,46
"article_oa",TRUE,"status_available",0,166
"article_oa",TRUE,"status_available",1,23
"article_oa",NA,"doi_unavailable",0,1
"article_oa",NA,"status_not_retrieved",0,4
"online_deposit",TRUE,"status_available",0,4
"online_deposit",NA,"doi_unavailable",0,3
"online_deposit",NA,"status_not_retrieved",0,28
"other_publisher_output",FALSE,"status_available",0,6
"other_publisher_output",TRUE,"status_available",0,4
"other_publisher_output",NA,"doi_unavailable",0,1
"preprint",FALSE,"status_available",0,2
"preprint",TRUE,"status_available",0,55
"preprint",NA,"doi_unavailable",0,2
"preprint",NA,"status_not_retrieved",0,49
