"draw","n","observed","counterfactual","att","reduction_pct","negative_counterfactual_cells"
1,5090,141357,155561.05887846,-2.79058131207464,9.1308576714932,418
2,5085,147176,76955.3229484912,13.8093760179958,-91.2486288940791,597
3,4957,145527,187537.377748908,-8.47496020756659,22.4010691912068,422
4,4971,142329,171914.288735754,-5.95157689313097,17.2093250382631,350
5,5203,126183,101675.443800671,4.71027411096075,-24.1037120500545,639
6,5046,135251,156099.567814556,-4.13170190538172,13.355942048042,494
7,5048,136886,130778.309114395,1.2099229171166,-4.67026292583585,681
8,4973,150307,124036.535542101,5.28261903436529,-21.1796180400263,649
9,4934,137611,144875.619037301,-1.47235894554141,5.01438343150815,360
10,5066,130953,168888.591197189,-7.48827303537096,22.4619028012951,480
11,5048,147144,162240.776043438,-2.990645016529,9.30516754887586,274
12,4896,129044,138906.830376592,-2.0144669886831,7.10032066087261,417
13,5049,126896,141700.488639973,-2.93216253515016,10.4477329486053,612
14,4944,143800,155755.503042695,-2.41818427238976,7.67581421467836,354
15,5035,135463,165561.786212121,-5.97791185940844,18.1797906997441,313
16,5027,134989,162342.195697256,-5.44125635513343,16.8490980301051,339
17,4896,98014,118727.42713648,-4.23068364715682,17.4462023106668,407
18,5055,129956,165795.266759667,-7.08986483870755,21.6165801715067,510
19,5027,143014,168006.416571909,-4.97163647740377,14.87587026845,431
20,5006,106875,133497.515426879,-5.31812133976805,19.9423302686565,385
21,5105,122554,101883.083539632,4.04915111858336,-20.2888602722033,414
22,5064,129127,95981.8988253749,6.54524114822771,-34.5326583243866,670
23,5070,123924,149138.956637507,-4.97336422830518,16.9070222871372,479
24,5117,145117,172804.991237694,-5.41098128545896,16.0226802706229,357
25,5093,129552,161165.666933525,-6.20727801561466,19.6156337357912,383
26,5121,139530,157444.944694198,-3.49832936813074,11.3785455156997,337
27,4910,115518,169460.274462106,-10.9862066114269,31.8318111034149,363
28,5004,146600,180919.823969508,-6.85847801149241,18.9696315287662,321
29,5099,124260,155429.602521182,-6.11288537383454,20.0538391757995,511
30,4990,108959,141847.439939285,-6.5908697273116,23.1857832283488,405
31,4955,119409,148625.88838991,-5.89644568918458,19.6580075694896,527
32,5061,126551,149979.86178498,-4.62929495850226,15.6213384291345,434
33,4932,111066,133620.259611958,-4.57304533900208,16.8793711952493,332
34,4985,139241,102607.565445739,7.34873311018283,-35.7024693014806,661
35,5086,125680,161416.772805716,-7.02649878209114,22.13944200751,405
