"doi","title","abstract","source_display_name"
"10.1037/0022-3514.94.3.545","""Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control"": Correction to Amodio et al. (2008).","Reports an error in Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control by David M. Amodio, Patricia G. Devine and Eddie Harmon-Jones (Journal of Personality and Social Psychology, 2008[Jan], Vol 94[1], 60-74). In this article, there was an error in Figure 4. The corrected figure is provided in this erratum. (The following abstract of the original article appeared in record 2007-19165-005.) Low-prejudice people vary considerably in their ability to regulate intergroup responses. The authors hypothesized that this variability arises from a neural mechanism for monitoring conflict between automatic race-biased tendencies and egalitarian intentions. In Study 1, they found that low-prejudice participants whose nonprejudiced responses are motivated by internal (but not external) factors exhibited better control on a stereotype-inhibition task than did participants motivated by a combination of internal and external factors. This difference was associated with greater conflict-monitoring activity, measured by event-related potentials, when responses required stereotype inhibition. Study 2 demonstrated that group differences were specific to response control in the domain of prejudice. Results indicate that conflict monitoring, a preconscious component of response control, accounts for variability in intergroup bias among low-prejudice participants.","Journal of Personality and Social Psychology"
"10.1037/0096-3445.136.2.241","Attention control, memory updating, and emotion regulation temporarily reduce the capacity for executive control.","This research tested the hypothesis that initial efforts at executive control temporarily undermine subsequent efforts at executive control. Four experiments revealed that controlling the focus of visual attention (Experiment 1), inhibiting predominant writing tendencies (Experiment 2), taking a working memory test (Experiment 3), or exaggerating emotional expressions (Experiment 4) undermined performance on subsequent tests of working memory span, reverse digit span, and response inhibition, respectively. The results supported a limited resource model of executive control and cast doubt on competing accounts based on mood, motivation, or task difficulty. Prior efforts at executive control are a significant contextual determinant of the operation of executive processes.","Journal of Experimental Psychology General"
"10.1037/a0034462","A functional basis for structure-seeking: Exposure to structure promotes willingness to engage in motivated action.","A recurring observation of experimental psychologists is that people prefer, seek out, and even selectively ""see"" structure in their social and natural environments. Structure-seeking has been observed across a wide range of phenomena--from the detection of patterns in random arrays to affinities for order-providing political, religious, social, and scientific worldviews--and is exacerbated under psychological threat. Why are people motivated for structure? An intriguing, but untested, explanation holds that perceiving structure, even in domains unrelated to one's current behavioral context, can facilitate willingness to take goal-directed actions. Supporting this, in 5 studies, reminders of structure in nature or society increase willingness to engage in goal pursuit.","Journal of Experimental Psychology General"
"10.1177/0956797611428079","Can an Agentic Black Woman Get Ahead? The Impact of Race and Interpersonal Dominance on Perceptions of Female Leaders","Prior research has demonstrated that the display of agentic behaviors, such as dominance, can produce backlash against female leaders because of the incongruence between these behaviors and prescribed gender roles. The current study was designed to fill a gap in existing research by investigating whether these well-established findings are moderated by race. Results revealed that dominant Black female leaders did not create the same backlash that dominant White female leaders did. Experimental evidence confirmed that White female (and Black male) leaders were conferred lower status when they expressed dominance rather than communality, whereas Black female (and White male) leaders were not. These findings highlight the importance, and complexity, of considering the intersection of gender and race when examining penalties for and proscriptions against dominant behavior of female leaders.","Psychological Science"
"10.1002/jeab.705","Comparing stimulus preference and response force in a conjugate preparation","Researchers used a conjugate preparation to evaluate how response force changed based on participants' preferences for visual stimuli. First, researchers used a verbal preference assessment to evaluate each participant's preference for viewing for five object categories of visual stimuli; this process identified high preference (HP) stimuli and low preference stimuli for most participants. Thereafter, researchers exposed each participant to the five stimulus categories in a randomized order while using a force dynamometer to measure their response force to increase visual clarity of each stimulus. Results indicate the majority of participants' HP stimuli corresponded to the stimulus category for which they exerted the highest mean force. These preliminary findings suggest conjugate preparations involving response force may provide another option for measuring the relative value of some stimulus events.","Journal of the Experimental Analysis of Behavior"
"10.1126/science.1191465","Why Testing Improves Memory: Mediator Effectiveness Hypothesis","A wealth of research has established that practice tests improve memory for the tested material. Although the benefits of practice tests are well documented, the mechanisms underlying testing effects are not well understood. We propose the mediator effectiveness hypothesis, which states that more-effective mediators (that is, information linking cues to targets) are generated during practice involving tests with restudy versus during restudy only. Effective mediators must be retrievable at time of test and must elicit the target response. We evaluated these two components of mediator effectiveness for learning foreign language translations during practice involving either test-restudy or restudy only. Supporting the mediator effectiveness hypothesis, test-restudy practice resulted in mediators that were more likely to be retrieved and more likely to elicit targets on a final test.","Science"
"10.1073/pnas.1706253114","Exposure to rising inequality shapes Americans’ opportunity beliefs and policy support","Economic inequality has been on the rise in the United States since the 1980s and by some measures stands at levels not seen since before the Great Depression. Although the strikingly high and rising level of economic inequality in the nation has alarmed scholars, pundits, and elected officials alike, research across the social sciences repeatedly concludes that Americans are largely unconcerned about it. Considerable research has documented, for instance, the important role of psychological processes, such as system justification and American Dream ideology, in engendering Americans' relative insensitivity to economic inequality. The present work offers, and reports experimental tests of, a different perspective-the opportunity model of beliefs about economic inequality. Specifically, two convenience samples (study 1, <i>n</i> = 480; and study 2, <i>n</i> = 1,305) and one representative sample (study 3, <i>n</i> = 1,501) of American adults were exposed to information about rising economic inequality in the United States (or control information) and then asked about their beliefs regarding the roles of structural (e.g., being born wealthy) and individual (e.g., hard work) factors in getting ahead in society (i.e., opportunity beliefs). They then responded to policy questions regarding the roles of business and government actors in reducing economic inequality. Rather than revealing insensitivity to rising inequality, the results suggest that rising economic inequality in contemporary society can spark skepticism about the existence of economic opportunity in society that, in turn, may motivate support for policies designed to redress economic inequality.","Proceedings of the National Academy of Sciences"
"10.1073/pnas.1620542114","Facial appearance affects science communication","First impressions based on facial appearance predict many important social outcomes. We investigated whether such impressions also influence the communication of scientific findings to lay audiences, a process that shapes public beliefs, opinion, and policy. First, we investigated the traits that engender interest in a scientist's work, and those that create the impression of a ""good scientist"" who does high-quality research. Apparent competence and morality were positively related to both interest and quality judgments, whereas attractiveness boosted interest but decreased perceived quality. Next, we had members of the public choose real science news stories to read or watch and found that people were more likely to choose items that were paired with ""interesting-looking"" scientists, especially when selecting video-based communications. Finally, we had people read real science news items and found that the research was judged to be of higher quality when paired with researchers who look like ""good scientists."" Our findings offer insights into the social psychology of science, and indicate a source of bias in the dissemination of scientific findings to broader society.","Proceedings of the National Academy of Sciences"
"10.1037/0022-3514.95.2.274","Self-handicapping, excuse making, and counterfactual thinking: Consequences for self-esteem and future motivation.","Researchers interested in counterfactual thinking have often found that upward counterfactual thoughts lead to increased motivation to improve in the future, although at the cost of increased negative affect. The present studies suggest that because upward counterfactual thoughts indicate reasons for a poor performance, they can also serve as excuses. In this case, upward counterfactual thoughts should result in more positive self-esteem and reduced future motivation. Five studies demonstrated these effects in the context of self-handicapping. First, upward counterfactual thinking was increased in the presence of a self-handicap. Second, upward counterfactual thoughts indicating the presence of a self-handicap protected self-esteem following failure. Finally, upward counterfactual thoughts that protect self-esteem reduced preparation for a subsequent performance as well as performance itself. These findings suggest that the consequences of upward counterfactuals for affect and motivation are moderated by the goals of the individual as well as the content of the thoughts.","Journal of Personality and Social Psychology"
"10.1037/0278-7393.34.1.243","When does between-sequence phonological similarity promote irrelevant sound disruption?","Typically, the phonological similarity between to-be-recalled items and TBI auditory stimuli has no impact if recall in serial order is required. However, in the present study, the authors have shown that the free recall, but not serial recall, of lists of phonologically related to-be-remembered items was disrupted by an irrelevant sound stream (end rhymes) sharing similar phonological content. These findings can be explained by the notion that between-sequence phonological similarity effects emerge when category-cueing processes become an important determinant for recall, such as when shared category information can be used as a retrieval aid to cue list items or plausible list candidates. In this case, the presence of categorically similar irrelevant items impairs the retrieval of list items and leads to intrusion error. Implications of these results for theories of auditory distraction are discussed.","Journal of Experimental Psychology Learning Memory and Cognition"
