doi,cluster_id
"10.1126/science.1238041","economics_business"
"10.1037/a0021524","psychology"
"10.1037/0022-3514.94.4.672","psychology"
"10.1126/science.1189993","psychology"
"10.1111/j.1467-9280.2008.02227.x","psychology"
"10.1111/j.1467-9280.2009.02426.x","psychology"
"10.1177/0956797616639727","psychology"
"10.1257/aer.101.2.526","economics_business"
"10.1037/0278-7393.34.2.302","psychology"
"10.1111/j.1467-9280.2008.02041.x","psychology"
"10.1037/pspi0000109","psychology"
"10.1037/0022-3514.94.3.429","psychology"
"10.1177/0956797618780643","psychology"
"10.1257/aer.102.1.337","economics_business"
"10.1037/0278-7393.34.3.478","psychology"
"10.1037/a0016795","psychology"
"10.1037/0278-7393.34.1.167","psychology"
"10.1177/0956797615588195","psychology"
"10.1073/pnas.1516868113","psychology"
"10.1177/0146167214524992","psychology"
"10.1177/0956797619854706","psychology"
"10.1145/3105726.3106182","education"
"10.1073/pnas.1501592112","psychology"
"10.1073/pnas.1701916114","philosophy"
"10.1177/0956797618760784","psychology"
"10.1017/epi.2013.23","philosophy"
"10.1037/0278-7393.34.3.495","psychology"
"10.1037/0022-3514.94.2.94.2.196","psychology"
"10.1257/aer.104.6.1735","economics_business"
"10.1037/0022-3514.94.4.560","psychology"
"10.1177/0093650215609676","media_communication_studies"
"10.1111/lang.12161","education"
"10.1111/j.1551-6709.2010.01161.x","psychology"
"10.1257/aer.101.7.3109","education"
"10.1177/0146167215580776","psychology"
"10.1177/1948550619843931","psychology"
"10.1111/ecin.12470",""
"10.1177/0956797616640705",""
"10.4148/1944-9771.1299",""
"10.1037/0278-7393.34.1.146",""
"10.1037/0278-7393.34.1.50",""
"10.1037/0278-7393.34.1.204",""
"10.1037/0278-7393.34.1.186",""
"10.1257/aer.102.5.2018",""
"10.1126/science.1190792",""
"10.1257/aer.101.2.470",""
"10.1111/1467-8284.00419",""
"10.1037/0096-3445.136.2.241",""
"10.1037/0022-3514.94.1.116",""
"10.1037/a0015960",""
"10.1037/0021-9010.77.4.419",""
"10.1111/j.1551-6709.2011.01210.x",""
"10.1126/science.1191465",""
"10.1093/qje/qjt035",""
"10.1126/science.1211180",""
"10.1111/j.1551-6709.2010.01164.x",""
"10.1037/0278-7393.34.2.369",""
"10.1177/0956797611429579",""
"10.1073/pnas.1601280113",""
"10.1177/0956797616685771",""
"10.1038/s41598-019-57204-1",""
"10.1111/j.1467-9280.2008.02085.x",""
"10.1002/bdm.586",""
"10.1037/a0031047",""
"10.1037/0022-3514.94.3.382",""
"10.1017/s1366728914000273",""
"10.1371/journal.pone.0154854",""
"10.1177/0956797611414726",""
"10.1073/pnas.1707040114",""
"10.1177/0956797613494853",""
"10.1073/pnas.1616921114",""
"10.1177/0956797620927967",""
"10.1037/0278-7393.34.2.399",""
"10.1257/aer.101.4.1211",""
"10.1037//0022-3514.83.1.44",""
"10.1037/0022-3514.94.1.48",""
