doi,field_gemini,secondary_field_gemini,field_confidence_gemini,field_manual,agree,agree_any,field_gpt,secondary_field_gpt,gpt_agree_any
10.1037/0022-3514.94.3.545,social_psychology,biological_neuropsychology,0.95,social_psychology,TRUE,TRUE,social_psychology,biological_neuropsychology,TRUE
10.1037/0096-3445.136.2.241,cognitive_psychology,social_psychology,0.95,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1037/a0034462,social_psychology,cognitive_psychology,0.85,cognitive_psychology,FALSE,TRUE,cognitive_psychology,social_psychology,TRUE
10.1177/0956797611428079,social_psychology,occupational_organisational_business_psychology,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1002/jeab.705,cognitive_psychology,methods_evaluation_psychology,0.75,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1126/science.1191465,cognitive_psychology,educational_psychology,0.95,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1073/pnas.1706253114,social_psychology,NA,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1073/pnas.1620542114,social_psychology,NA,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1037/0022-3514.95.2.274,social_psychology,differential_personality_diagnostics,0.95,social_psychology,TRUE,TRUE,social_psychology,cognitive_psychology,TRUE
10.1037/0278-7393.34.1.243,cognitive_psychology,NA,0.99,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1111/j.1551-6709.2011.01210.x,cognitive_psychology,social_psychology,0.9,cognitive_psychology,TRUE,TRUE,cognitive_psychology,social_psychology,TRUE
10.1037/0278-7393.34.2.302,cognitive_psychology,NA,0.99,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1177/0956797618760784,social_psychology,NA,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1177/0956797618788882,social_psychology,NA,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1111/j.1467-9280.2008.02069.x,developmental_psychology,cognitive_psychology,0.95,educational_psychology,FALSE,FALSE,developmental_psychology,NA,FALSE
10.1177/0956797615625640,social_psychology,biological_neuropsychology,0.75,social_psychology,TRUE,TRUE,social_psychology,cognitive_psychology,TRUE
10.1073/pnas.1701916114,social_psychology,cognitive_psychology,0.95,cognitive_psychology,FALSE,TRUE,social_psychology,cognitive_psychology,TRUE
10.1037/0022-3514.94.2.94.2.231,social_psychology,cognitive_psychology,0.95,cognitive_psychology,FALSE,TRUE,social_psychology,NA,FALSE
10.1037/0278-7393.34.2.399,cognitive_psychology,NA,0.99,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1037/0022-3514.94.4.615,social_psychology,NA,0.99,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1177/1948550619843931,social_psychology,differential_personality_diagnostics,0.85,social_psychology,TRUE,TRUE,social_psychology,differential_personality_diagnostics,TRUE
10.1073/pnas.1505067112,social_psychology,cognitive_psychology,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1111/j.1467-9280.2008.02062.x,cognitive_psychology,social_psychology,0.85,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1111/j.1467-9280.2008.02066.x,cognitive_psychology,developmental_psychology,0.85,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1111/j.1467-9280.2008.02227.x,social_psychology,cognitive_psychology,0.85,cognitive_psychology,FALSE,TRUE,social_psychology,NA,FALSE
10.1163/156853706776931222,cognitive_psychology,social_psychology,0.8,social_psychology,FALSE,TRUE,cognitive_psychology,NA,FALSE
10.1037/0022-3514.94.2.94.2.196,social_psychology,NA,0.99,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1037/0278-7393.34.1.80,cognitive_psychology,NA,1,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1177/0956797611414726,social_psychology,cognitive_psychology,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1037/0278-7393.34.3.460,cognitive_psychology,social_psychology,0.95,social_psychology,FALSE,TRUE,cognitive_psychology,social_psychology,TRUE
10.1037/0022-3514.94.1.116,social_psychology,NA,0.99,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1016/0010-0285(83)90002-6,cognitive_psychology,NA,1,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1126/science.1238041,cognitive_psychology,social_psychology,0.95,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1037/0022-3514.94.4.600,social_psychology,NA,0.99,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1111/j.1467-9280.2008.02081.x,cognitive_psychology,developmental_psychology,0.85,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1073/pnas.1607330114,social_psychology,biological_neuropsychology,0.85,cognitive_psychology,FALSE,FALSE,social_psychology,NA,FALSE
10.1038/s41598-019-57204-1,methods_evaluation_psychology,cognitive_psychology,0.95,methods_evaluation_psychology,TRUE,TRUE,methods_evaluation_psychology,cognitive_psychology,TRUE
10.1037/0278-7393.34.1.50,cognitive_psychology,NA,0.99,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1111/j.1467-9280.2008.02092.x,social_psychology,cognitive_psychology,0.85,social_psychology,TRUE,TRUE,cognitive_psychology,social_psychology,TRUE
10.1177/0956797613494853,developmental_psychology,social_psychology,0.85,developmental_psychology,TRUE,TRUE,developmental_psychology,cognitive_psychology,TRUE
10.1037/a0016795,cognitive_psychology,social_psychology,0.85,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1177/0956797615608267,cognitive_psychology,social_psychology,0.95,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1111/j.1467-9280.2008.02089.x,social_psychology,cognitive_psychology,0.8,cognitive_psychology,FALSE,TRUE,cognitive_psychology,NA,TRUE
10.1177/0956797617705399,social_psychology,cognitive_psychology,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1037/0022-3514.94.3.396,social_psychology,cognitive_psychology,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
