doi,cluster_id
"10.1037/0022-3514.94.3.545","psychology"
"10.1037/0096-3445.136.2.241","psychology"
"10.1037/a0034462","psychology"
"10.1177/0956797611428079","psychology"
"10.1002/jeab.705","psychology"
"10.1126/science.1191465","psychology"
"10.1073/pnas.1706253114","psychology"
"10.1073/pnas.1620542114","psychology"
"10.1037/0022-3514.95.2.274","psychology"
"10.1037/0278-7393.34.1.243","psychology"
"10.1111/j.1551-6709.2011.01210.x","psychology"
"10.1037/0278-7393.34.2.302","psychology"
"10.1177/0956797618760784","psychology"
"10.1177/0956797618788882","psychology"
"10.1111/j.1467-9280.2008.02069.x","psychology"
"10.1177/0956797615625640","psychology"
"10.1073/pnas.1701916114","psychology"
"10.1037/0022-3514.94.2.94.2.231","psychology"
"10.1037/0278-7393.34.2.399","psychology"
"10.1037/0022-3514.94.4.615","psychology"
"10.1177/1948550619843931","psychology"
"10.1073/pnas.1505067112","psychology"
"10.1002/(SICI)1099-0771(199806)11:2%3C107::AID-BDM292%3E3.0.CO;2-Y","economics_business"
"10.1111/j.1467-9280.2008.02062.x","psychology"
"10.1111/j.1467-9280.2008.02066.x","psychology"
"10.1111/j.1467-9280.2008.02227.x","psychology"
"10.1163/156853706776931222","psychology"
"10.1037/0022-3514.94.2.94.2.196","psychology"
"10.1037/0278-7393.34.1.80","psychology"
"10.1177/0956797611414726","psychology"
"10.1037/0278-7393.34.3.460","psychology"
"10.1037/0022-3514.94.1.116","psychology"
"10.1016/0010-0285(83)90002-6","psychology"
"10.1126/science.1238041","psychology"
"10.1037/0022-3514.94.4.600","psychology"
"10.1111/j.1467-9280.2008.02081.x","psychology"
"10.1073/pnas.1607330114","psychology"
"10.1038/s41598-019-57204-1","psychology"
"10.1037/0278-7393.34.1.50","psychology"
"10.1111/j.1467-9280.2008.02092.x","psychology"
"10.1177/0956797613494853","psychology"
"10.1037/a0016795","psychology"
"10.1177/0956797615608267","psychology"
"10.1111/j.1467-9280.2008.02089.x","psychology"
"10.1177/0956797617705399","psychology"
"10.1037/0022-3514.94.3.396","psychology"
"10.1111/j.1467-9280.2008.02078.x","psychology"
"10.1111/j.1467-9280.2008.02044.x","psychology"
"10.1111/j.1467-9280.2008.02077.x","psychology"
"10.1111/j.1551-6709.2010.01164.x","psychology"
"10.1177/0956797611429579","psychology"
"10.1177/0956797620927967","psychology"
"10.1037/0022-3514.94.1.16","psychology"
"10.1177/1948550612457688","psychology"
"10.1037/0278-7393.34.1.65","psychology"
"10.1111/j.1467-9280.2008.02098.x","psychology"
"10.1016/j.cognition.2013.02.008","philosophy"
"10.1037/0022-3514.94.3.382","psychology"
"10.1111/j.1467-9280.2008.02052.x","psychology"
"10.1111/j.1467-9280.2008.02040.x","psychology"
"10.1037/0278-7393.34.1.230","psychology"
"10.1037/0278-7393.34.1.128","psychology"
"10.1007/s40732-020-00453-8","psychology"
"10.1073/pnas.1508932113","psychology"
"10.1017/S1366728914000273","psychology"
"10.1037/0022-3514.94.1.158","psychology"
"10.4148/1944-9771.1299","psychology"
"10.1177/0956797610397956","psychology"
"10.1037/0022-3514.94.4.718","psychology"
"10.1037/0278-7393.34.1.97","psychology"
"10.1037/0022-3514.94.1.1","psychology"
"10.1016/j.cognition.2017.06.025","psychology"
"10.1111/j.1467-9280.2008.02080.x","psychology"
"10.1111/j.1467-9280.2007.02004.x","psychology"
"10.1111/j.1467-9280.2008.02091.x","psychology"
"10.1037/0022-3514.94.1.48","psychology"
"10.1037/0278-7393.34.3.439","psychology"
"10.1037/0022-3514.94.2.245","psychology"
"10.1177/0956797619854706","psychology"
"10.1073/pnas.1519401113","psychology"
"10.1177/0956797618780643","psychology"
"10.1073/pnas.1805327115","psychology"
"10.1037/0278-7393.34.1.186","psychology"
"10.1037/0022-3514.83.5.1239","psychology"
"10.1037/0022-3514.94.1.91","psychology"
"10.1037/0022-3514.94.4.672","psychology"
"10.1126/science.1250830","psychology"
"10.1177/0956797612449177","psychology"
"10.1177/0956797615588195","psychology"
"10.1073/pnas.1722664115","psychology"
"10.1177/0956797615572231","psychology"
"10.1073/pnas.1706913114","psychology"
"10.1073/pnas.1805284115","psychology"
"10.1037/xge0001195","psychology"
"10.1111/j.1467-9280.2009.02426.x","psychology"
"10.1073/pnas.1523586113","psychology"
"10.1177/0956797611434537","psychology"
"10.1177/0956797616669947","psychology"
"10.1177/0956797611435919","psychology"
"10.1111/j.1467-9280.2008.02039.x","psychology"
"10.1111/j.1467-9280.2008.02046.x","psychology"
"10.1037/0022-3514.94.5.871","psychology"
"10.1037//0022-3514.83.1.44","psychology"
"10.1111/j.1467-9280.2008.02043.x","psychology"
"10.1037/a0013748","psychology"
"10.1037/0022-3514.74.3.774","psychology"
"10.1111/j.1467-9280.2008.02042.x","psychology"
"10.1073/pnas.2009030117","psychology"
"10.1038/nclimate2093","psychology"
"10.1073/pnas.1216438110","psychology"
"10.1073/pnas.1516047113","psychology"
"10.1073/pnas.1705238114","psychology"
"10.1037/0278-7393.34.3.495","psychology"
"10.1037/0278-7393.34.3.524","psychology"
"10.1037/0022-3514.95.2.420","psychology"
"10.1037/0278-7393.34.1.219","psychology"
"10.1073/pnas.1610834113","psychology"
"10.1038/s41598-018-30314-y","psychology"
"10.1177/01461672952111004","psychology"
"10.1073/pnas.2218961120","psychology"
"10.3758/s13428-021-01694-3","psychology"
"10.1037/a0019006","psychology"
"10.1111/j.1467-9280.2008.02049.x","psychology"
"10.1073/pnas.1501592112","psychology"
"10.3758/BF03197186","psychology"
"10.1016/0022-1031(77)90049-X","psychology"
"10.1016/j.jml.2006.02.004","psychology"
"10.1073/pnas.1707040114","psychology"
"10.1371/journal.pone.0071475","psychology"
"10.1037/0022-3514.94.4.647","psychology"
"10.1073/pnas.1516868113","psychology"
"10.1016/j.cognition.2016.06.011","psychology"
"10.1016/j.jesp.2018.05.006","psychology"
"10.1111/j.1467-9280.2006.01704.x","psychology"
"10.1111/j.1467-9280.2008.02061.x","psychology"
"10.1111/j.1468-0017.2006.00297.x","philosophy"
"10.1126/science.1190792","psychology"
"10.1002/bdm.586","psychology"
"10.1073/pnas.2014505117","philosophy"
"10.1016/j.neuroimage.2006.11.048","psychology"
"10.1371/journal.pone.0154854","psychology"
"10.1177/0956797615573516","psychology"
"10.1037/0278-7393.34.3.478","psychology"
"10.1037/a0032108","psychology"
"10.1016/j.obhdp.2004.12.002","psychology"
"10.1037/0278-7393.34.1.146","psychology"
"10.1177/0956797614563108","psychology"
"10.1037/0096-3445.136.4.569","psychology"
"10.1037/0278-7393.34.1.249","psychology"
"10.1177/0146167214524992","psychology"
"10.1126/science.1186799","psychology"
"10.1037/0022-3514.94.3.429","psychology"
"10.3389/fpsyg.2014.01276","psychology"
"10.1037/0022-3514.95.1.76","psychology"
"10.1037/0278-7393.34.2.430","psychology"
"10.1037/0021-9010.77.4.419","psychology"
"10.1177/0956797619879441","psychology"
"10.1016/j.jesp.2020.104080","psychology"
"10.1177/0956797616685771","psychology"
"10.1037/a0031047","psychology"
"10.1073/pnas.0908963106","psychology"
"10.1111/j.1467-9280.2008.02053.x","psychology"
"10.1073/pnas.1707719114","economics_business"
"10.1111/j.1467-9280.2008.02093.x","psychology"
"10.1037/0278-7393.34.1.237","psychology"
"10.1037/0278-7393.34.2.353","psychology"
"10.1177/0956797618806296","psychology"
"10.1111/j.1467-9280.2008.02057.x","psychology"
"10.1037/0022-3514.94.3.516","psychology"
"10.1177/0146167207309195","psychology"
"10.1037/a0015960","psychology"
"10.1126/science.1221936","psychology"
"10.1037/pspi0000109","psychology"
"10.1037/0278-7393.34.3.546","psychology"
"10.1016/j.jesp.2020.104019","psychology"
"10.1037/0022-3514.94.4.579","psychology"
"10.1016/j.cognition.2015.01.013","philosophy"
"10.1111/j.1467-9280.2008.02041.x","psychology"
"10.1037/a0019689","psychology"
"10.1037/0022-3514.94.4.560","psychology"
"10.1073/pnas.2120668119","psychology"
"10.1037/0278-7393.34.2.408","psychology"
"10.1111/j.1467-9280.2008.02136.x","psychology"
"10.1016/j.neuropsychologia.2009.05.011","psychology"
"10.1037/a0021524","psychology"
"10.1073/pnas.1511536112","economics_business"
"10.1177/0956797614558718","psychology"
"10.1111/1467-9280.00334","psychology"
"10.1016/j.obhdp.2006.10.001","psychology"
"10.1016/j.biopsycho.2018.08.007","psychology"
"10.1093/geronb/gbx099","psychology"
"10.1037/0022-3514.94.3.495","psychology"
"10.1073/pnas.1717092115","psychology"
"10.1037/0278-7393.34.1.204","psychology"
"10.1177/0956797614547705","psychology"
"10.1037/a0012833","psychology"
"10.1111/j.1551-6709.2010.01161.x","psychology"
"10.1126/science.1189993","psychology"
"10.1002/jeab.432","psychology"
"10.1016/j.jesp.2005.05.001","psychology"
"10.1073/pnas.1601280113","economics_business"
"10.1257/aer.102.2.834","economics_business"
"10.1257/aer.101.2.526","economics_business"
"10.1126/science.1222426","psychology"
"10.1093/qje/qjr034","economics_business"
"10.1257/aer.101.2.819","economics_business"
"10.1111/nous.12017","philosophy"
"10.1257/aer.102.5.2018","economics_business"
"10.1017/epi.2013.23","philosophy"
"10.1109/TSE.2016.2527791","computer_science"
