doi,field_id
"10.1037/0022-3514.94.3.545","social_psychology"
"10.1037/0096-3445.136.2.241","cognitive_psychology"
"10.1037/a0034462","cognitive_psychology"
"10.1177/0956797611428079","social_psychology"
"10.1002/jeab.705","cognitive_psychology"
"10.1126/science.1191465","cognitive_psychology"
"10.1073/pnas.1706253114","social_psychology"
"10.1073/pnas.1620542114","social_psychology"
"10.1037/0022-3514.95.2.274","social_psychology"
"10.1037/0278-7393.34.1.243","cognitive_psychology"
"10.1111/j.1551-6709.2011.01210.x","cognitive_psychology"
"10.1037/0278-7393.34.2.302","cognitive_psychology"
"10.1177/0956797618760784","social_psychology"
"10.1177/0956797618788882","social_psychology"
"10.1111/j.1467-9280.2008.02069.x","educational_psychology"
"10.1177/0956797615625640","social_psychology"
"10.1073/pnas.1701916114","cognitive_psychology"
"10.1037/0022-3514.94.2.94.2.231","cognitive_psychology"
"10.1037/0278-7393.34.2.399","cognitive_psychology"
"10.1037/0022-3514.94.4.615","social_psychology"
"10.1177/1948550619843931","social_psychology"
"10.1073/pnas.1505067112","social_psychology"
"10.1111/j.1467-9280.2008.02062.x","cognitive_psychology"
"10.1111/j.1467-9280.2008.02066.x","cognitive_psychology"
"10.1111/j.1467-9280.2008.02227.x","cognitive_psychology"
"10.1163/156853706776931222","social_psychology"
"10.1037/0022-3514.94.2.94.2.196","social_psychology"
"10.1037/0278-7393.34.1.80","cognitive_psychology"
"10.1177/0956797611414726","social_psychology"
"10.1037/0278-7393.34.3.460","social_psychology"
"10.1037/0022-3514.94.1.116","social_psychology"
"10.1016/0010-0285(83)90002-6","cognitive_psychology"
"10.1126/science.1238041","cognitive_psychology"
"10.1037/0022-3514.94.4.600","social_psychology"
"10.1111/j.1467-9280.2008.02081.x","cognitive_psychology"
"10.1073/pnas.1607330114","cognitive_psychology"
"10.1038/s41598-019-57204-1","methods_evaluation_psychology"
"10.1037/0278-7393.34.1.50","cognitive_psychology"
"10.1111/j.1467-9280.2008.02092.x","social_psychology"
"10.1177/0956797613494853","developmental_psychology"
"10.1037/a0016795","cognitive_psychology"
"10.1177/0956797615608267","cognitive_psychology"
"10.1111/j.1467-9280.2008.02089.x","cognitive_psychology"
"10.1177/0956797617705399","social_psychology"
"10.1037/0022-3514.94.3.396","social_psychology"
"10.1111/j.1467-9280.2008.02078.x","cognitive_psychology"
"10.1111/j.1467-9280.2008.02044.x","cognitive_psychology"
"10.1111/j.1467-9280.2008.02077.x","biological_neuropsychology"
"10.1111/j.1551-6709.2010.01164.x","cognitive_psychology"
"10.1177/0956797611429579","social_psychology"
"10.1177/0956797620927967","cognitive_psychology"
"10.1037/0022-3514.94.1.16","social_psychology"
"10.1177/1948550612457688","social_psychology"
"10.1037/0278-7393.34.1.65","cognitive_psychology"
"10.1111/j.1467-9280.2008.02098.x","cognitive_psychology"
"10.1037/0022-3514.94.3.382","cognitive_psychology"
"10.1111/j.1467-9280.2008.02052.x","social_psychology"
"10.1111/j.1467-9280.2008.02040.x","social_psychology"
"10.1037/0278-7393.34.1.230","cognitive_psychology"
"10.1037/0278-7393.34.1.128","cognitive_psychology"
"10.1007/s40732-020-00453-8","cognitive_psychology"
"10.1073/pnas.1508932113","social_psychology"
"10.1017/S1366728914000273","cognitive_psychology"
"10.1037/0022-3514.94.1.158","social_psychology"
"10.4148/1944-9771.1299","clinical_psychology"
"10.1177/0956797610397956","cognitive_psychology"
"10.1037/0022-3514.94.4.718","differential_personality_diagnostics"
"10.1037/0278-7393.34.1.97","cognitive_psychology"
"10.1037/0022-3514.94.1.1","biological_neuropsychology"
"10.1016/j.cognition.2017.06.025","cognitive_psychology"
"10.1111/j.1467-9280.2008.02080.x","cognitive_psychology"
"10.1111/j.1467-9280.2007.02004.x","biological_neuropsychology"
"10.1111/j.1467-9280.2008.02091.x","social_psychology"
"10.1037/0022-3514.94.1.48","social_psychology"
"10.1037/0278-7393.34.3.439","cognitive_psychology"
"10.1037/0022-3514.94.2.245","social_psychology"
"10.1177/0956797619854706","social_psychology"
"10.1073/pnas.1519401113","social_psychology"
"10.1177/0956797618780643","cognitive_psychology"
"10.1073/pnas.1805327115","cognitive_psychology"
"10.1037/0278-7393.34.1.186","cognitive_psychology"
"10.1037/0022-3514.83.5.1239","social_psychology"
"10.1037/0022-3514.94.1.91","social_psychology"
