;doi_o;abstract;title
1;10.1001/archgenpsychiatry.2012.124;"CONTEXT: Recent studies have shown an association between cigarettes per day (CPD) and a nonsynonymous single-nucleotide polymorphism in CHRNA5, rs16969968. OBJECTIVE: To determine whether the association between rs16969968 and smoking is modified by age at onset of regular smoking. DATA SOURCES: Primary data. STUDY SELECTION: Available genetic studies containing measures of CPD and the genotype of rs16969968 or its proxy. DATA EXTRACTION: Uniform statistical analysis scripts were run locally. Starting with 94,050 ever-smokers from 43 studies, we extracted the heavy smokers (CPD >20) and light smokers (CPD ≤10) with age-at-onset information, reducing the sample size to 33,348. Each study was stratified into early-onset smokers (age at onset ≤16 years) and late-onset smokers (age at onset >16 years), and a logistic regression of heavy vs light smoking with the rs16969968 genotype was computed for each stratum. Meta-analysis was performed within each age-at-onset stratum. DATA SYNTHESIS: Individuals with 1 risk allele at rs16969968 who were early-onset smokers were significantly more likely to be heavy smokers in adulthood (odds ratio [OR] = 1.45; 95% CI, 1.36-1.55; n = 13,843) than were carriers of the risk allele who were late-onset smokers (OR = 1.27; 95% CI, 1.21-1.33, n = 19,505) (P = .01). CONCLUSION: These results highlight an increased genetic vulnerability to smoking in early-onset smokers.";Increased Genetic Vulnerability to Smoking at CHRNA5 in Early-Onset Smokers
2;"10.1002/(sici)1097-0266(199704)18:4<303::aid-smj869>3.0.co;2-g";Strategic managers are consistently faced with the decision of how to allocate scarce corporate resources in an environment that is placing more and more pressures on them. Recent scholarship in strategic management suggests that many of these pressures come directly from sources associated with social issues in management, rather than traditional arenas of strategic management. Using a greatly improved source of data on corporate social performance, this paper reports the results of a rigorous study of the empirical linkages between financial and social performance. Corporate social performance (CSP) is found to be positively associated with prior financial performance, supporting the theory that slack resource availability and CSP are positively related. CSP is also found to be positively associated with future financial performance, supporting the theory that good management and CSP are positively related.© 1997 by John Wiley & Sons, Ltd;THE CORPORATE SOCIAL PERFORMANCE-FINANCIAL PERFORMANCE LINK
3;10.1002/9780470147658.chpsy0112;"The life course paradigm has replaced child-based, growth-oriented (“ontogenetic”) accounts of the person with models that emphasize the timing, social context, and organization of lives from birth to death. The chapter begins with a story of this intellectual change from the thematic precursors of life course studies to the present. The next section identifies heuristic concepts that capture the dynamic properties of settings and contextualize the individual, including social pathways, the cumulation of experiences, trajectories and transitions, and turning points. The life course paradigm also offers core principles that link social change and developmental trajectories, including those of life-span development, human agency, timing, linked lives, and historical time and place. In combination, these principles represent key contributions to the study of human development. They establish development as a life-long phenomenon that includes aging into late adulthood; to highlight the agentic nature of people as they create and shape their settings within limits; view development as the confluence of age, the generations, and history; and situate each person's trajectory in terms of family, neighborhood, community, and society. Life course insights have been especially revealing in research on health, and offer great promise in the study of biology, experience, and adjustment.";The Life Course and Human Development
4;10.1002/acp.1692;Previous research has found that the performance of introverts on complex cognitive tasks is more negatively affected by distracters, e.g. music and background noise, than the performance of extraverts. The present study extends previous research by examining whether or not background noise would prove to be as distracting as music. In the presence of silence, background UK garage music and background noise, 118 female secondary school students carried out three cognitive tests. It was predicted that introverts would do less well on all of the tasks than extraverts in the presence of music and noise but in silence performance would be the same. A significant interaction was found on all three of the tasks. It was also predicted that there would be a main effect of background sound: Performance would be worse in the presence of music and noise than silence. Results confirmed this prediction with one exception. This study also found a positive correlation between extraversion and intelligence, the implications of which are also discussed. The findings support the Eysenckian hypothesis of the difference in optimum cortical arousal in introverts and extraverts. Copyright © 2010 John Wiley & Sons, Ltd.;The effect of background music and noise on the cognitive test performance of introverts and extraverts
5;10.1002/acp.2878;Summary Research into lying about intentions is relatively new. Studies have suggested that lying about intentions can be detected with statement analysing methods. This article describes two experiments. The first experiment investigates how much spatial and temporal detail is given by people who are discussing a true or false intention in a 26‐question interview. The results showed that those with a true intention gave more spatial and temporal details. The second experiment examines these details in a one‐question interview and whether the amount of temporal detail given can be manipulated by the phrasing of the question. The results showed that the amount of detail is much lower in these short interviews, but can be increased with specific phrasing. The theoretical and practical implications of these results are discussed. Copyright © 2012 John Wiley & Sons, Ltd.;Spatial and Temporal Details in Intentions: A Cue to Detecting Deception
6;10.1002/acp.3471;Summary Word problems embed a math equation within a short narrative. Due to their structure, both numerical and linguistic factors can contribute to problem difficulty. The present studies explored the role of irrelevant information in word problems, to determine whether its negative impact is due to numerical (foregrounding hypothesis) or linguistic (inconsistent‐operations hypothesis) interference. Across three experiments, participants solved multiplication and division word problems containing irrelevant numerical information, which was either associated or disassociated with the protagonist. Results demonstrated increased solution errors on division problems when irrelevant numbers were disassociated with the protagonist. When memory for numerical information was emphasized, disassociation was specifically impacted low‐working memory individuals. The effect of disassociation on division performance persisted even when irrelevant numbers, but not words, were removed from problems. These results suggest that, even in the presence of numerically interfering information, it is the language of word problems that often drive their difficulty.;Inconsistent operations: A weapon of math disruption
7;10.1002/ajhb.20823;In this study in urban Brazil we examine, as a predictor of depressive symptoms, the interaction between a single nucleotide polymorphism in the 2A receptor in the serotonin system (-1438G/A) and cultural consonance in family life, a measure of the degree to which an individual perceives her family as corresponding to a widely shared cultural model of the prototypical family. A community sample of 144 adults was followed over a 2-year-period. Cultural consonance in family life was assessed by linking individuals' perceptions of their own families with a shared cultural model of the family derived from cultural consensus analysis. The -1438G/A polymorphism in the 2A serotonin receptor was genotyped using a standard protocol for DNA extracted from leukocytes. Covariates included age, sex, socioeconomic status, and stressful life events. Cultural consonance in family life was prospectively associated with depressive symptoms. In addition, the interaction between genotype and cultural consonance in family life was significant. For individuals with the A/A variant of the -1438G/A polymorphism of the 2A receptor gene, the effect of cultural consonance in family life on depressive symptoms over a 2-year-period was larger (beta = -0.533, P < 0.01) than those effects for individuals with either the G/A (beta = -0.280, P < 0.10) or G/G (beta = -0.272, P < 0.05) variants. These results are consistent with a process in which genotype moderates the effects of culturally meaningful social experience on depressive symptoms.;Cultural consonance, a 5HT2A receptor polymorphism, and depressive symptoms: A longitudinal study of gene × culture interaction in urban Brazil
8;10.1002/ana.21590;OBJECTIVE: Recent studies have identified a major locus for risk for coronary artery disease and myocardial infarction on chromosome 9p21.3. Stroke, in particular, ischemic stroke caused by atherosclerotic disease, shares common mechanisms with myocardial infarction. We investigated whether the 9p21 region contributes to ischemic stroke risk. METHODS: In an initial screen, 15 single nucleotide polymorphisms (SNPs) covering the critical genetic interval on 9p21 were genotyped in samples from Southern Germany (1,090 cases, 1,244 control subjects) and the United Kingdom (758 cases, 872 control subjects, 3 SNPs). SNPs significantly associated with ischemic stroke or individual stroke subtypes in either of the screening samples were subsequently genotyped in 2,528 additional cases and 2,189 additional control subjects from Europe and North America. RESULTS: Genotyping of the screening samples demonstrated associations between seven SNPs and atherosclerotic stroke (all p < 0.05). Analysis of the full sample confirmed associations between six SNPs and atherosclerotic stroke in multivariate analyses controlling for demographic variables, coronary artery disease, myocardial infarction, and vascular risk factors (all p < 0.05). The odds ratios for the lead SNP (rs1537378-C) were similar in the various subsamples with a pooled odds ratio of 1.21 (95% confidence interval, 1.07-1.37) under both fixed- and random-effects models (p = 0.002). The point estimate for the population attributable risk is 20.1% for atherosclerotic stroke. INTERPRETATION: The chromosome 9p21.3 region represents a major risk locus for atherosclerotic stroke. The effect of this locus on stroke appears to be independent of its relation to coronary artery disease and other stroke risk factors. Our findings support a broad role of the 9p21 region in arterial disease.;Sequence variants on chromosome 9p21.3 confer risk for atherosclerotic stroke
9;10.1002/ana.23838;OBJECTIVE: End-stage coagulation and the structure/function of fibrin are implicated in the pathogenesis of ischemic stroke. We explored whether genetic variants associated with end-stage coagulation in healthy volunteers account for the genetic predisposition to ischemic stroke and examined their influence on stroke subtype. METHODS: Common genetic variants identified through genome-wide association studies of coagulation factors and fibrin structure/function in healthy twins (n = 2,100, Stage 1) were examined in ischemic stroke (n = 4,200 cases) using 2 independent samples of European ancestry (Stage 2). A third clinical collection having stroke subtyping (total 8,900 cases, 55,000 controls) was used for replication (Stage 3). RESULTS: Stage 1 identified 524 single nucleotide polymorphisms (SNPs) from 23 linkage disequilibrium blocks having significant association (p < 5 × 10(-8)) with 1 or more coagulation/fibrin phenotypes. The most striking associations included SNP rs5985 with factor XIII activity (p = 2.6 × 10(-186)), rs10665 with FVII (p = 2.4 × 10(-47)), and rs505922 in the ABO gene with both von Willebrand factor (p = 4.7 × 10(-57)) and factor VIII (p = 1.2 × 10(-36)). In Stage 2, the 23 independent SNPs were examined in stroke cases/noncases using MOnica Risk, Genetics, Archiving and Monograph (MORGAM) and Wellcome Trust Case Control Consortium 2 collections. SNP rs505922 was nominally associated with ischemic stroke (odds ratio = 0.94, 95% confidence interval = 0.88-0.99, p = 0.023). Independent replication in Meta-Stroke confirmed the rs505922 association with stroke, beta (standard error, SE) = 0.066 (0.02), p = 0.001, a finding specific to large-vessel and cardioembolic stroke (p = 0.001 and p = < 0.001, respectively) but not seen with small-vessel stroke (p = 0.811). INTERPRETATION: ABO gene variants are associated with large-vessel and cardioembolic stroke but not small-vessel disease. This work sheds light on the different pathogenic mechanisms underpinning stroke subtype.;Ischemic stroke is associated with the ABO locus: The EuroCLOT study
10;10.1002/dev.20062;Handedness and language skills were assessed in 196 same-sex twin pairs (101 MZ and 95 DZ), who were selected from an epidemiological study of twins, so that children with risk of language impairment were over-represented. When assessed at 6 years of age, 83 children met criteria for specific language impairment (SLI), 32 had general developmental (GD) delay, and the remaining 277 were typically-developing (TD). Hand preference (HP) assessed by inventory did not distinguish SLI, TD, or GD groups. The quantification of hand preference (QHP) measure, which measures persistence of a HP when reaching across the midline, did show weaker HP in those with SLI compared to the other two groups. It is suggested that the QHP measure assesses developmental aspects of manual lateralization, and is sensitive to neurodevelopmental immaturity in SLI. Furthermore, genetic analysis showed that the QHP measure, unlike the handedness inventory, was significantly heritable.;Handedness and specific language impairment: A study of 6-year-old twins
